datetime,dwords
2019-11-22T14:14:35+09:00,"['word6', 'word4', 'word8']"
2019-11-22T13:58:12+09:00,"['word6', 'word26', 'word20', 'word46']"
2019-11-22T13:57:57+09:00,"['word6', 'word26', 'word20', 'word46']"
2019-11-22T13:57:33+09:00,"['word47', 'word48', 'word26']"
2019-11-22T13:51:25+09:00,"['word47', 'word48', 'word26']"
2019-11-22T13:51:18+09:00,"['word6', 'word40', 'word49']"
2019-11-22T13:50:27+09:00,"['word6', 'word40', 'word49']"
2019-11-22T13:50:12+09:00,"['word6', 'word40', 'word49']"
2019-11-22T13:49:57+09:00,"['word6', 'word40', 'word4']"
2019-11-22T13:49:40+09:00,"['word6', 'word40', 'word4']"
2019-11-22T13:39:32+09:00,"['word6', 'word50', 'word27']"
2019-11-22T13:39:03+09:00,"['word6', 'word50', 'word27']"
2019-11-22T13:38:46+09:00,"['word6', 'word50', 'word27']"
2019-11-22T13:34:47+09:00,"['word6', 'word50', 'word27']"
2019-11-22T13:34:04+09:00,"['word6', 'word50', 'word27']"
2019-11-22T13:33:58+09:00,"['word6', 'word50', 'word51']"
2019-11-22T13:33:14+09:00,"['word6', 'word50', 'word51']"
2019-11-22T13:32:42+09:00,"['word6', 'word50', 'word51']"
2019-11-22T13:32:30+09:00,"['word6', 'word50', 'word51']"
2019-11-22T13:18:25+09:00,"['word6', 'word52', 'word51']"
2019-11-22T13:18:05+09:00,"['word6', 'word52', 'word51']"
2019-11-22T13:16:44+09:00,"['word6', 'word52', 'word51']"
2019-11-22T13:16:20+09:00,"['word33', 'word26', 'word53']"
2019-11-22T13:08:57+09:00,"['word33', 'word26', 'word53']"
2019-11-22T13:08:31+09:00,"['word33', 'word26']"
2019-11-22T13:07:41+09:00,"['word33', 'word26']"
2019-11-22T13:06:31+09:00,"['word33', 'word26']"
2019-11-22T13:06:17+09:00,"['word6', 'word54']"
2019-11-22T13:05:49+09:00,"['word6', 'word54']"
2019-11-22T13:04:48+09:00,"['word6', 'word54']"
2019-11-22T13:04:27+09:00,"['word6', 'word26', 'word55']"
2019-11-22T12:46:05+09:00,"['word6', 'word26', 'word55']"
2019-11-22T12:44:50+09:00,"['word56', 'word40']"
2019-11-22T12:44:49+09:00,"['word56', 'word40']"
2019-11-22T12:44:39+09:00,['word56']
2019-11-22T12:33:53+09:00,"['word6', 'word26', 'word20', 'word46']"
2019-11-22T12:32:59+09:00,"['word6', 'word26', 'word20', 'word46']"
2019-11-22T12:29:17+09:00,"['word6', 'word26', 'word20', 'word46']"
2019-11-21T16:52:53+09:00,"['word26', 'word4', 'word57', 'word47']"
2019-11-21T16:52:47+09:00,"['word26', 'word4', 'word57']"
2019-11-21T16:43:52+09:00,"['word6', 'word26']"
2019-11-21T16:43:49+09:00,"['word6', 'word26', 'word55']"
2019-11-21T16:39:35+09:00,"['word6', 'word26', 'word55']"
2019-11-21T16:38:31+09:00,"['word6', 'word50', 'word58']"
2019-11-21T16:38:18+09:00,"['word6', 'word50', 'word58']"
2019-11-21T16:36:56+09:00,"['word6', 'word50', 'word58']"
2019-11-21T16:36:32+09:00,"['word6', 'word50', 'word58']"
2019-11-21T16:36:16+09:00,"['word6', 'word50', 'word58']"
2019-11-21T16:36:10+09:00,"['word6', 'word50', 'word27']"
2019-11-21T16:21:31+09:00,"['word6', 'word50', 'word27']"
2019-11-21T16:19:14+09:00,"['word6', 'word50', 'word27']"
2019-11-21T16:18:46+09:00,"['word6', 'word50', 'word27']"
2019-11-21T16:18:08+09:00,"['word6', 'word50', 'word27']"
2019-11-21T16:17:56+09:00,"['word6', 'word50', 'word27']"
2019-11-21T16:09:59+09:00,"['word16', 'word17', 'word6']"
2019-11-21T16:09:42+09:00,"['word16', 'word17', 'word6']"
2019-11-21T16:09:23+09:00,"['word16', 'word17']"
2019-11-21T16:09:23+09:00,"['word16', 'word17']"
2019-11-21T16:09:19+09:00,"['word16', 'word59']"
2019-11-21T16:07:55+09:00,"['word6', 'word17']"
2019-11-21T16:07:31+09:00,"['word6', 'word17']"
2019-11-21T16:06:59+09:00,"['word6', 'word17']"
2019-11-21T16:06:56+09:00,"['word6', 'word21']"
2019-11-21T16:05:52+09:00,"['word6', 'word50', 'word60']"
2019-11-21T16:04:45+09:00,"['word6', 'word50', 'word60']"
2019-11-21T16:03:50+09:00,"['word6', 'word50', 'word60']"
2019-11-21T15:40:49+09:00,"['word6', 'word50', 'word60']"
2019-11-21T15:40:19+09:00,"['word6', 'word50', 'word60']"
2019-11-21T15:26:08+09:00,"['word6', 'word50', 'word60']"
2019-11-21T15:25:56+09:00,"['word6', 'word40', 'word24', 'word60']"
2019-11-21T15:22:19+09:00,"['word6', 'word40', 'word61']"
2019-11-21T15:17:52+09:00,"['word6', 'word26', 'word51', 'word55']"
2019-11-21T15:17:09+09:00,"['word6', 'word26', 'word51', 'word55']"
2019-11-21T15:16:35+09:00,"['word6', 'word26', 'word51', 'word55']"
2019-11-21T15:12:10+09:00,"['word6', 'word26', 'word51', 'word55']"
2019-11-21T15:11:49+09:00,"['word47', 'word16']"
2019-11-21T15:01:03+09:00,"['word6', 'word40', 'word24', 'word60']"
2019-11-21T14:55:42+09:00,"['word47', 'word16']"
2019-11-21T14:55:35+09:00,"['word47', 'word14']"
2019-11-21T14:53:05+09:00,"['word47', 'word14']"
2019-11-21T14:52:41+09:00,"['word47', 'word14']"
2019-11-21T14:52:15+09:00,"['word47', 'word14']"
2019-11-21T14:49:27+09:00,"['word6', 'word62']"
2019-11-21T14:49:13+09:00,"['word6', 'word62']"
2019-11-21T14:44:47+09:00,"['word6', 'word62']"
2019-11-21T14:36:44+09:00,"['word6', 'word62']"
2019-11-21T14:36:28+09:00,"['word40', 'word60', 'word6']"
2019-11-21T14:35:18+09:00,"['word40', 'word60', 'word6']"
2019-11-21T14:34:36+09:00,"['word40', 'word60', 'word6']"
2019-11-21T14:34:26+09:00,"['word40', 'word60']"
2019-11-21T14:31:44+09:00,"['word47', 'word40', 'word63']"
2019-11-21T14:29:31+09:00,"['word47', 'word40', 'word64']"
2019-11-21T14:29:26+09:00,"['word47', 'word40', 'word65']"
2019-11-21T14:29:22+09:00,"['word47', 'word20', 'word9']"
2019-11-21T14:27:12+09:00,"['word47', 'word20', 'word9']"
2019-11-21T14:23:37+09:00,"['word47', 'word40', 'word65']"
2019-11-21T14:18:45+09:00,"['word33', 'word53', 'word26']"
2019-11-21T14:14:50+09:00,"['word33', 'word53', 'word26']"
2019-11-21T13:44:06+09:00,"['word33', 'word26', 'word20']"
2019-11-21T13:36:05+09:00,"['word47', 'word20', 'word9']"
2019-11-21T13:36:01+09:00,"['word47', 'word20', 'word9', 'word66']"
